,Incident Number,Incident Types,Reported Date,Province,Company,Substance,Volume Released (m3)
693,INC2014-089,Release of Substance,06/18/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.001
694,INC2014-090,Fire,06/20/2014,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
695,INC2014-091,Release of Substance,06/21/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,40.0
696,INC2014-093,Release of Substance,06/27/2014,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,
697,INC2014-095,Release of Substance,07/03/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1e-04
698,INC2014-096,Release of Substance,07/06/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2.0
699,INC2014-097,Fire,07/18/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
700,INC2014-101,Release of Substance,08/01/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,
701,INC2014-104,Release of Substance,08/06/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,63.0
702,INC2014-105,Fire,08/11/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
703,INC2014-106,Release of Substance,08/13/2014,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
704,INC2014-110,Release of Substance,08/24/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,8.25
705,INC2014-111,Fatality,09/02/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
706,INC2014-112,Fire,09/08/2014,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
707,INC2014-120,Release of Substance,09/19/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,
708,INC2014-121,Release of Substance,09/22/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.3
709,INC2014-123,Operation Beyond Design Limits,09/29/2014,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
710,INC2014-124,Release of Substance,10/02/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,0.382
711,INC2014-126,Serious Injury (CER or TSB),10/02/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
712,INC2014-127,Release of Substance,10/03/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
713,INC2014-128,Fire,10/16/2014,Northwest Territories,Enbridge Pipelines (NW) Inc.,Not Applicable,
714,INC2014-129,Serious Injury (CER or TSB),10/17/2014,Alberta,Enbridge Pipelines Inc.,Not Applicable,
715,INC2014-130,Release of Substance,10/19/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,0.0003
716,INC2014-131,Operation Beyond Design Limits,10/22/2014,Alberta,Alliance Pipeline Ltd.,Not Applicable,
717,INC2014-132,Release of Substance,10/23/2014,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,0.01
718,INC2014-134,Release of Substance,11/04/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,101000.0
719,INC2014-136,Release of Substance,11/10/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.01
720,INC2014-137,Release of Substance,11/12/2014,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.001
721,INC2014-139,Release of Substance,11/15/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,
722,INC2014-146,Release of Substance,11/27/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,9000.0
723,INC2014-147,Release of Substance,12/03/2014,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,0.01
724,INC2014-148,Release of Substance,12/04/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
725,INC2014-149,Release of Substance,12/04/2014,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur Dioxide,3175.0
726,INC2014-150,Fire,12/05/2014,Alberta,Cochin Pipe Lines Ltd.,Not Applicable,
727,INC2014-151,Operation Beyond Design Limits,12/09/2014,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
728,INC2014-153,Release of Substance,12/17/2014,Saskatchewan,Enbridge Pipelines Inc.,Crude Oil - Sweet,173.6
729,INC2014-154,Release of Substance,12/23/2014,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,100.0
730,INC2014-155,Release of Substance,12/23/2014,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
731,INC2015-001,Release of Substance,01/09/2015,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
732,INC2015-002,Operation Beyond Design Limits,01/09/2015,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
733,INC2015-006,Fire,01/16/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
734,INC2015-010,Release of Substance,01/26/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
735,INC2015-013,Release of Substance,01/31/2015,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Fuel Gas,1.0
736,INC2015-014,Operation Beyond Design Limits,02/04/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
737,INC2015-016,Release of Substance,02/08/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.06
738,INC2015-018,Release of Substance,02/15/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Water,70.0
739,INC2015-020,Release of Substance,02/26/2015,Nova Scotia,ExxonMobil Canada Properties,Natural Gas - Sweet,396.0
740,INC2015-021,Release of Substance,02/28/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.1
741,INC2015-022,Explosion,03/02/2015,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
742,INC2015-023,Release of Substance,03/03/2015,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,0.015
743,INC2015-024,Fire,03/04/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
744,INC2015-025,Fire,03/06/2015,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
745,INC2015-026,Release of Substance,03/09/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,2.0
746,INC2015-027,Release of Substance,03/09/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,6.94
747,INC2015-028,Release of Substance,03/13/2015,Alberta,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,2.3
748,INC2015-029,Release of Substance,03/17/2015,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,0.0005
749,INC2015-030,Adverse Environmental Effects,03/20/2015,New Brunswick,Twin Rivers Paper Company Inc.,Not Applicable,
750,INC2015-031,Release of Substance,03/30/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.1
751,INC2015-032,Release of Substance,03/30/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,2.4
752,INC2015-034,Operation Beyond Design Limits,03/31/2015,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
753,INC2015-035,Operation Beyond Design Limits,04/02/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
754,INC2015-036,Release of Substance,04/07/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1.0
755,INC2015-037,Fire,04/10/2015,Manitoba,TransCanada Keystone Pipeline GP Ltd.,Not Applicable,
756,INC2015-038,Operation Beyond Design Limits,04/16/2015,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
757,INC2015-041,Fire,04/19/2015,Alberta,Pembina Energy Services Inc.,Not Applicable,
758,INC2015-042,Release of Substance,04/20/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Water,268.0
759,INC2015-043,Serious Injury (CER or TSB),04/21/2015,Alberta,Trans Mountain Pipeline ULC,Not Applicable,
760,INC2015-044,Release of Substance,04/22/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Amine,2.5
761,INC2015-045,Release of Substance,04/28/2015,Ontario,Plains Midstream Canada ULC,Mixed HVP Hydrocarbons,1.82
762,INC2015-046,Release of Substance,05/04/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,41380.0
763,INC2015-049,Release of Substance,05/06/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.1
764,INC2015-050,Release of Substance,05/09/2015,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,10374.0
765,INC2015-051,Release of Substance,05/09/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Butane,262.0
766,INC2015-052,Fire,05/09/2015,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
767,INC2015-053,Fire,05/11/2015,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
768,INC2015-054,Release of Substance,05/11/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,1.0
769,INC2015-055,Release of Substance,05/12/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.1
770,INC2015-056,Release of Substance,05/12/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,3400000.0
771,INC2015-057,Fire,05/13/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
772,INC2015-058,Operation Beyond Design Limits,05/13/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
773,INC2015-059,Fire,05/20/2015,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
774,INC2015-060,Release of Substance,05/22/2015,Ontario,TransCanada PipeLines Limited,Lube Oil,2.0
775,INC2015-061,Fire,05/22/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
776,INC2015-062,Fire,05/25/2015,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
777,INC2015-063,Release of Substance,05/25/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,2.0
778,INC2015-064,Release of Substance,05/26/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,41.0
779,INC2015-070,Release of Substance,06/18/2015,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
780,INC2015-071,Release of Substance,06/19/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Waste Oil,2.0
781,INC2015-073,Release of Substance,06/27/2015,Alberta,Express Pipeline Ltd.,Crude Oil - Sweet,16.0
782,INC2015-074,Release of Substance,07/01/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,526.0
783,INC2015-075,Fire,07/03/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
784,INC2015-077,Fire,07/10/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
785,INC2015-078,Adverse Environmental Effects,07/10/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
786,INC2015-079,Operation Beyond Design Limits,07/10/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
787,INC2015-080,Release of Substance,07/13/2015,Alberta,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
788,INC2015-081,Operation Beyond Design Limits,07/13/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
789,INC2015-082,Release of Substance,07/14/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,1.8
790,INC2015-083,Release of Substance,07/16/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,13.4
791,INC2015-084,Release of Substance,07/20/2015,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
792,INC2015-085,Release of Substance,07/23/2015,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,28.0
793,INC2015-087,Release of Substance,07/24/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Produced Water,20.0
794,INC2015-088,Operation Beyond Design Limits,07/30/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
795,INC2015-090,Operation Beyond Design Limits,08/06/2015,Alberta,Alliance Pipeline Ltd.,Not Applicable,
796,INC2015-091,Release of Substance,08/17/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,164.0
797,INC2015-092,Release of Substance,08/18/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
798,INC2015-093,Release of Substance,08/18/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Propane,2.118
799,INC2015-095,Release of Substance,08/19/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,2366.0
800,INC2015-096,Release of Substance,08/21/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,0.001
801,INC2015-097,"Explosion, Fire",08/24/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
802,INC2015-098,Release of Substance,08/24/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,135.0
803,INC2015-100,Release of Substance,08/27/2015,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,0.01
804,INC2015-101,Fire,08/28/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
805,INC2015-102,Explosion,08/30/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
806,INC2015-103,Release of Substance,08/31/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,92300.0
807,INC2015-104,Release of Substance,09/06/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,9510.0
808,INC2015-105,Release of Substance,09/11/2015,Nova Scotia,EnCana Corporation,Natural Gas - Sweet,198.0
809,INC2015-107,Release of Substance,09/13/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,9744.0
810,INC2015-108,Release of Substance,09/14/2015,Saskatchewan,Enbridge Pipelines Inc.,Natural Gas Liquids,1e-04
811,INC2015-109,Release of Substance,09/16/2015,Manitoba,Enbridge Pipelines Inc.,Natural Gas Liquids,0.0076
812,INC2015-110,Release of Substance,09/18/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,11.611
813,INC2015-112,Release of Substance,09/24/2015,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Odourant,1e-04
814,INC2015-113,Release of Substance,09/29/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,32.6
815,INC2015-114,Release of Substance,10/01/2015,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
816,INC2015-115,Release of Substance,10/09/2015,Saskatchewan,Alliance Pipeline Ltd.,Natural Gas - Sweet,1.0
817,INC2015-116,Fire,10/14/2015,Ontario,Enbridge Pipelines Inc.,Not Applicable,
818,INC2015-118,Release of Substance,10/16/2015,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,30.0
819,INC2015-119,Serious Injury (CER or TSB),10/21/2015,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
820,INC2015-120,Adverse Environmental Effects,10/25/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
821,INC2015-121,Release of Substance,10/27/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.22
822,INC2015-122,Release of Substance,10/27/2015,Saskatchewan,Plains Midstream Canada ULC,Crude Oil - Sweet,4.0
823,INC2015-123,Release of Substance,10/29/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
824,INC2015-124,Release of Substance,10/31/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Potassium Carbonate,3.527
825,INC2015-125,Adverse Environmental Effects,11/02/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
826,INC2015-126,Operation Beyond Design Limits,11/06/2015,Manitoba,Enbridge Pipelines Inc.,Not Applicable,
827,INC2015-127,Release of Substance,11/09/2015,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,14075.0
828,INC2015-128,Adverse Environmental Effects,11/10/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
829,INC2015-129,Adverse Environmental Effects,11/10/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
830,INC2015-130,Adverse Environmental Effects,11/10/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
831,INC2015-132,Release of Substance,11/17/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Hydrogen Sulphide,770.0
832,INC2015-133,Release of Substance,11/20/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,0.001
833,INC2015-135,Release of Substance,11/23/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,58.0
834,INC2015-136,Release of Substance,11/24/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Sulphur,0.075
835,INC2015-137,Fire,11/26/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
836,INC2015-138,Release of Substance,11/26/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Amine,2000.0
837,INC2015-139,Release of Substance,12/01/2015,Ontario,Plains Midstream Canada ULC,Propane,0.3
838,INC2015-140,Fire,12/04/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
839,INC2015-141,Fire,12/04/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
840,INC2015-142,Fire,12/05/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
841,INC2015-143,Fire,12/10/2015,Ontario,TransCanada PipeLines Limited,Not Applicable,
842,INC2015-144,Release of Substance,12/11/2015,Manitoba,TransCanada PipeLines Limited,Natural Gas - Sweet,1.0
843,INC2015-145,Operation Beyond Design Limits,12/11/2015,Alberta,Enbridge Pipelines Inc.,Not Applicable,
844,INC2015-146,Operation Beyond Design Limits,12/12/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
845,INC2015-147,Release of Substance,12/18/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,10.4
846,INC2015-148,Fire,12/21/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
847,INC2015-150,Release of Substance,12/22/2015,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Water,32.0
848,INC2015-152,Fire,12/31/2015,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
849,INC2016-001,Release of Substance,01/01/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1.21
850,INC2016-002,Release of Substance,01/01/2016,British Columbia,Alliance Pipeline Ltd.,Natural Gas - Sweet,72500.0
851,INC2016-003,Fire,01/02/2016,Alberta,Enbridge Pipelines Inc.,Not Applicable,
852,INC2016-004,Operation Beyond Design Limits,01/04/2016,Alberta,Enbridge Pipelines Inc.,Not Applicable,
853,INC2016-006,Release of Substance,01/06/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,2.9
854,INC2016-008,Operation Beyond Design Limits,01/13/2016,Ontario,Trans-Northern Pipelines Inc.,Not Applicable,
855,INC2016-010,Release of Substance,01/19/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,42.0
856,INC2016-013,Fire,01/25/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
857,INC2016-015,Release of Substance,01/28/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,15.23
858,INC2016-018,Release of Substance,02/04/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,853.0
859,INC2016-019,Release of Substance,02/04/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,6380.0
860,INC2016-020,Release of Substance,02/05/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Water,5.0
861,INC2016-021,Release of Substance,02/09/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,13.23
862,INC2016-022,Release of Substance,02/10/2016,Alberta,Enbridge Pipelines Inc.,Natural Gas Liquids,0.001
863,INC2016-023,Release of Substance,02/12/2016,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,0.5
864,INC2016-024,Release of Substance,02/14/2016,Manitoba,Enbridge Pipelines Inc.,Crude Oil - Sweet,3.0
865,INC2016-025,Serious Injury (CER or TSB),02/16/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
866,INC2016-026,Fire,02/24/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
867,INC2016-027,Release of Substance,03/03/2016,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
868,INC2016-028,Release of Substance,03/24/2016,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,1.0
869,INC2016-029,Release of Substance,03/31/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,10.23
870,INC2016-032,Release of Substance,04/04/2016,Ontario,Kinder Morgan Cochin ULC,Propane,0.0182
871,INC2016-033,Release of Substance,04/06/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,913.0
872,INC2016-034,Release of Substance,04/07/2016,Nova Scotia,ExxonMobil Canada Properties,Natural Gas - Sweet,716.0
873,INC2016-035,Release of Substance,04/08/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,5.2
874,INC2016-036,Fire,04/15/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
875,INC2016-037,Fire,04/19/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
876,INC2016-038,Fire,04/23/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
877,INC2016-041,Fire,05/03/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
878,INC2016-042,Operation Beyond Design Limits,05/04/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
879,INC2016-043,Release of Substance,05/11/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,370.0
880,INC2016-044,Operation Beyond Design Limits,05/11/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
881,INC2016-045,Operation Beyond Design Limits,05/12/2016,Alberta,Enbridge Pipelines Inc.,Not Applicable,
882,INC2016-046,Fire,05/13/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
883,INC2016-048,Release of Substance,05/18/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sweet,260.0
884,INC2016-049,Fire,05/18/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
885,INC2016-050,Release of Substance,05/18/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,39.7
886,INC2016-051,Fire,05/24/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
887,INC2016-052,Operation Beyond Design Limits,05/24/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
888,INC2016-053,Fire,05/25/2016,Ontario,Niagara Gas Transmission Limited,Not Applicable,
889,INC2016-054,Fire,05/27/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
890,INC2016-055,Release of Substance,06/03/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,1.0
891,INC2016-056,Operation Beyond Design Limits,06/03/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
892,INC2016-057,Fire,06/10/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
893,INC2016-058,Operation Beyond Design Limits,06/17/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
894,INC2016-059,Operation Beyond Design Limits,06/17/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
895,INC2016-060,Operation Beyond Design Limits,06/17/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
896,INC2016-061,Operation Beyond Design Limits,06/17/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Not Applicable,
897,INC2016-063,Operation Beyond Design Limits,06/29/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
898,INC2016-064,Fire,06/29/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
899,INC2016-065,Operation Beyond Design Limits,06/29/2016,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,
900,INC2016-066,Release of Substance,06/30/2016,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Contaminated Water,725.0
901,INC2016-067,Release of Substance,07/02/2016,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,2000.0
902,INC2016-069,Operation Beyond Design Limits,07/05/2016,British Columbia,Trans Mountain Pipeline ULC,Not Applicable,
903,INC2016-070,Fire,07/05/2016,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,
904,INC2016-071,Operation Beyond Design Limits,07/06/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
905,INC2016-072,Operation Beyond Design Limits,07/06/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
906,INC2016-073,Operation Beyond Design Limits,07/06/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
907,INC2016-074,Operation Beyond Design Limits,07/06/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
908,INC2016-076,Operation Beyond Design Limits,07/07/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
909,INC2016-077,Release of Substance,07/12/2016,Ontario,TransCanada PipeLines Limited,Natural Gas - Sweet,1750.0
910,INC2016-078,Release of Substance,07/15/2016,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,3.0
911,INC2016-079,Fire,07/20/2016,Ontario,Enbridge Pipelines Inc.,Not Applicable,
912,INC2016-080,Release of Substance,07/21/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,40.0
913,INC2016-081,Release of Substance,07/21/2016,Alberta,Trans Mountain Pipeline ULC,Diesel Fuel,2.3
914,INC2016-082,Operation Beyond Design Limits,07/26/2016,Alberta,NOVA Gas Transmission Ltd.,Not Applicable,
915,INC2016-083,Release of Substance,07/27/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,52000.0
916,INC2016-084,Operation Beyond Design Limits,07/30/2016,Alberta,Enbridge Pipelines Inc.,Not Applicable,
917,INC2016-085,Fire,08/03/2016,Ontario,TransCanada PipeLines Limited,Not Applicable,
918,INC2016-086,Release of Substance,08/03/2016,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,1.0
919,INC2016-087,Release of Substance,08/06/2016,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,30.0
